,code,capitalization
698,600123.XSHG,57120.0
699,600511.XSHG,23940.0
700,600874.XSHG,142723.0
701,600518.XSHG,76440.0
702,600395.XSHG,59408.0
703,600312.XSHG,51124.0
704,600161.XSHG,48825.0
705,600251.XSHG,24140.0
706,600997.XSHG,61732.0
707,600007.XSHG,100728.0
708,600881.XSHG,126315.0
709,600655.XSHG,72592.0
710,600569.XSHG,239368.0
711,600033.XSHG,147960.0
712,600648.XSHG,101078.0
713,600825.XSHG,58049.0
714,600859.XSHG,39297.0
715,600325.XSHG,81705.0
716,600022.XSHG,173360.0
717,600497.XSHG,78000.0
718,600660.XSHG,200299.0
719,601003.XSHG,256279.0
720,600256.XSHG,86606.0
721,600153.XSHG,124319.0
722,600820.XSHG,73352.0
723,600004.XSHG,115000.0
724,600219.XSHG,131880.0
725,600835.XSHG,102274.0
726,600295.XSHG,103200.0
727,600428.XSHG,131040.0
728,600635.XSHG,149534.0
729,600611.XSHG,157608.0
730,600737.XSHG,100560.0
731,600596.XSHG,28679.0
732,600236.XSHG,147989.0
733,600269.XSHG,116767.0
734,600001.XSHG,281646.0
735,600582.XSHG,67440.0
736,600517.XSHG,41247.0
737,600674.XSHG,63868.0
738,600631.XSHG,110103.0
739,600348.XSHG,96200.0
740,600096.XSHG,53635.0
741,601588.XSHG,336702.0
742,601001.XSHG,83685.0
743,600548.XSHG,218070.0
744,600886.XSHG,105463.0
745,600008.XSHG,220000.0
746,600100.XSHG,97697.0
747,600098.XSHG,205920.0
748,600037.XSHG,106019.0
749,600588.XSHG,46668.0
750,600383.XSHG,167815.0
751,600739.XSHG,90049.0
752,600221.XSHG,353025.0
753,600718.XSHG,94430.0
754,600500.XSHG,143759.0
755,600208.XSHG,282185.0
756,600062.XSHG,47641.0
757,600109.XSHG,50012.0
758,600528.XSHG,145920.0
759,600690.XSHG,133852.0
760,600058.XSHG,107191.0
761,600196.XSHG,123777.0
762,601872.XSHG,343340.0
763,600489.XSHG,35937.0
764,601666.XSHG,107472.0
765,600664.XSHG,124201.0
766,601918.XSHG,185039.0
767,601699.XSHG,115054.0
768,600871.XSHG,400000.0
769,600717.XSHG,167477.0
770,600068.XSHG,166541.0
771,601168.XSHG,238300.0
772,601009.XSHG,183675.0
773,600895.XSHG,154869.0
774,600271.XSHG,61560.0
775,600177.XSHG,222661.0
776,600350.XSHG,336380.0
777,600010.XSHG,642337.0
778,600309.XSHG,166333.0
779,600547.XSHG,35577.0
780,600642.XSHG,288963.0
781,600598.XSHG,167631.0
782,600415.XSHG,34020.0
783,600649.XSHG,229810.0
784,601099.XSHG,150331.0
785,600276.XSHG,51729.0
786,600115.XSHG,486695.0
787,600031.XSHG,148800.0
788,600029.XSHG,656127.0
789,600009.XSHG,192696.0
790,600832.XSHG,318633.0
791,600027.XSHG,602108.0
792,600550.XSHG,116800.0
793,600663.XSHG,186768.0
794,600808.XSHG,770068.0
795,600150.XSHG,66256.0
796,600600.XSHG,130822.0
797,600320.XSHG,320736.0
798,601333.XSHG,708354.0
799,600875.XSHG,88200.0
800,601958.XSHG,268884.0
801,600377.XSHG,503775.0
802,600026.XSHG,340455.0
803,600089.XSHG,119825.0
804,600362.XSHG,302283.0
805,600795.XSHG,544777.0
806,601866.XSHG,1168313.0
807,600583.XSHG,216080.0
808,600104.XSHG,655103.0
809,600048.XSHG,245234.0
810,600015.XSHG,499053.0
811,600005.XSHG,783800.0
812,600688.XSHG,720000.0
813,600188.XSHG,491840.0
814,600585.XSHG,176643.0
815,601111.XSHG,1225136.0
816,601766.XSHG,1184000.0
817,601808.XSHG,449532.0
818,601169.XSHG,622756.0
819,600837.XSHG,822782.0
820,600018.XSHG,2099069.0
821,601899.XSHG,1454131.0
822,601727.XSHG,1250769.0
823,601166.XSHG,500000.0
824,600000.XSHG,566135.0
825,601991.XSHG,1178004.0
826,600016.XSHG,1882300.0
827,601919.XSHG,1021627.0
828,600019.XSHG,1751200.0
829,601600.XSHG,1352449.0
830,600011.XSHG,1205538.0
831,601601.XSHG,770000.0
832,601898.XSHG,1325866.0
833,600519.XSHG,94380.0
834,601006.XSHG,1297676.0
835,600050.XSHG,2119660.0
836,601390.XSHG,2129990.0
837,600030.XSHG,663047.0
838,601186.XSHG,1233754.0
839,600900.XSHG,941209.0
840,601998.XSHG,3903334.0
841,600036.XSHG,1470718.0
842,601318.XSHG,734505.0
843,601328.XSHG,4899438.0
844,601088.XSHG,1988962.0
845,601628.XSHG,2826471.0
846,600028.XSHG,8670244.0
847,601988.XSHG,25383916.0
848,601939.XSHG,23368908.0
849,601398.XSHG,33401884.0
850,601857.XSHG,18302098.0
